28 47|42 41|50 35|99 4|68 78|56 74|33 93|78 13|74 85|30 28|52 34|53 74|26 15|0 61|29 23|52 22|
93 88|60 29|61 38|91 71|24 16|19 79|97 99|38 25|74 4|10 94|91 78|96 64|37 46|1 0|21 78|31 47|
44 45|55 33|5 90|13 23|0 8|71 0|79 91|32 57|15 79|41 38|54 23|87 87|80 86|18 76|77 86|93 92|
87 29|83 48|94 20|30 14|73 67|87 84|49 27|11 0|41 45|50 48|58 35|94 60|16 49|25 10|47 25|82 43|
89 45|51 79|36 99|90 30|51 2|80 54|88 38|88 91|61 17|77 54|75 77|54 71|98 19|54 7|78 79|89 33|
68 98|84 8|27 53|32 32|77 82|35 38|75 81|67 92|7 64|7 5|61 23|77 13|48 40|0 69|43 43|68 85|
4 1|71 69|42 84|15 62|50 67|77 10|20 28|43 74|98 95|53 56|44 59|3 91|60 38|20 29|58 40|76 78|
87 77|9 34|56 36|67 22|97 33|64 13|20 42|68 67|44 99|81 43|36 56|93 95|51 84|57 38|60 0|78 48|
77 66|16 69|89 95|3 84|91 38|43 21|2 29|5 33|1 89|73 76|17 64|32 6|22 30|0 91|34 9|75 79|
45 51|57 19|43 26|38 41|33 54|32 70|2 87|57 46|46 53|70 3|80 76|31 73|66 60|0 89|30 75|51 26|
44 13|46 15|38 15|98 4|26 3|69 34|77 24|53 64|71 96|52 63|28 59|18 90|43 27|15 98|24 0|40 8|
20 56|98 16|30 47|23 81|76 80|16 58|83 53|13 89|6 19|10 92|84 88|30 66|10 55|0 5|25 68|74 76|
33 58|14 80|62 72|29 78|32 79|11 46|73 79|88 2|37 89|7 40|21 76|68 51|33 64|8 41|34 65|61 69|
60 12|57 65|62 37|80 12|54 89|83 2|50 29|89 65|2 22|35 30|52 98|74 64|75 35|47 31|53 93|54 72|
81 61|75 7|72 94|70 86|49 24|8 26|96 47|56 5|98 3|44 3|2 24|71 73|32 22|13 28|27 0|34 23|
28 10|57 95|22 35|14 30|36 21|96 98|61 54|44 29|93 41|58 41|52 85|57 35|74 70|20 0|21 34|45 31|
41 7|63 48|57 33|42 8|78 74|76 52|72 50|45 5|28 23|47 30|32 23|3 16|41 29|35 0|48 1|68 49|
84 2|26 71|33 23|75 72|86 91|30 29|30 64|1 40|83 87|23 76|65 26|51 62|39 8|5 43|46 51|52 28|
35 19|54 40|76 27|31 25|89 76|66 34|5 31|72 67|78 66|63 39|35 21|0 99|11 30|1 97|4 90|54 38|
31 82|63 81|32 73|40 48|30 0|6 75|30 71|47 91|35 29|56 83|40 54|46 86|75 82|0 81|36 38|41 63|
53 21|67 84|43 64|4 28|29 12|28 47|24 45|29 11|31 74|57 74|63 23|95 22|34 68|14 36|26 45|55 69|
20 51|97 87|60 62|58 18|12 90|38 26|70 74|32 28|8 27|23 69|22 75|78 9|47 56|9 36|39 51|83 80|
2 90|58 45|34 93|24 44|29 57|49 30|49 28|96 27|11 27|13 84|74 37|4 0|31 80|5 3|7 87|50 32|
17 90|94 23|94 75|18 19|44 63|31 28|52 30|4 7|18 12|34 66|20 18|80 24|61 66|0 4|13 16|31 27|
51 45|35 64|29 74|97 74|45 60|35 38|50 27|15 96|94 45|65 6|89 62|87 54|97 43|36 38|38 37|46 54|
25 66|78 2|33 47|53 45|31 29|9 98|15 79|73 81|26 20|57 79|56 39|38 85|28 25|10 95|24 66|29 42|
