26 73|56 75|19 85|8 63|52 42|16 86|9 89|77 32|47 20|26 62|58 86|65 95|95 21|18 67|22 76|51 41|
19 82|42 59|61 77|65 13|10 85|85 5|93 65|77 12|56 13|53 58|33 97|1 89|20 10|34 93|39 58|52 81|
81 82|58 59|39 77|35 13|90 85|15 5|7 65|23 12|44 13|47 58|67 97|99 89|80 10|66 93|61 58|48 81|
19 18|42 41|61 23|65 87|10 15|85 95|93 35|77 88|56 87|53 42|33 3|1 11|20 90|34 7|39 42|52 19|
82 19|59 42|77 61|13 65|85 10|5 85|65 93|12 77|13 56|58 53|97 33|89 1|10 20|93 34|58 39|81 52|
82 81|59 58|77 39|13 35|85 90|5 15|65 7|12 23|13 44|58 47|97 67|89 99|10 80|93 66|58 61|81 48|
81 18|58 41|39 23|35 87|90 15|15 95|7 35|23 88|44 87|47 42|67 3|99 11|80 90|66 7|61 42|48 19|
18 19|41 42|23 61|87 65|15 10|95 85|35 93|88 77|87 56|42 53|3 33|11 1|90 20|7 34|42 39|19 52|
57 39|82 75|39 97|0 48|29 78|45 41|55 44|26 21|60 64|16 63|96 91|21 7|35 86|17 0|45 42|55 40|
43 39|18 75|61 97|100 48|71 78|55 41|45 44|74 21|40 64|84 63|4 91|79 7|65 86|83 0|55 42|45 40|
57 61|82 25|39 3|0 52|29 22|45 59|55 56|26 79|60 36|16 37|96 9|21 93|35 14|17 100|45 58|55 60|
39 57|75 82|97 39|48 0|78 29|41 45|44 55|21 26|64 60|63 16|91 96|7 21|86 35|0 17|42 45|40 55|
39 43|75 18|97 61|48 100|78 71|41 55|44 45|21 74|64 40|63 84|91 4|7 79|86 65|0 83|42 55|40 45|
43 61|18 25|61 3|100 52|71 22|55 59|45 56|74 79|40 36|84 37|4 9|79 93|65 14|83 100|55 58|45 60|
61 57|25 82|3 39|52 0|22 29|59 45|56 55|79 26|36 60|37 16|9 96|93 21|14 35|100 17|58 45|60 55|
90 84|43 23|76 39|55 99|62 65|37 77|56 62|48 26|0 76|27 73|85 42|69 74|40 80|5 0|59 64|67 74|
10 84|57 23|24 39|45 99|38 65|63 77|44 62|52 26|100 76|73 73|15 42|31 74|60 80|95 0|41 64|33 74|
90 16|43 77|76 61|55 1|62 35|37 23|56 38|48 74|0 24|27 27|85 58|69 26|40 20|5 100|59 36|67 26|
84 90|23 43|39 76|99 55|65 62|77 37|62 56|26 48|76 0|73 27|42 85|74 69|80 40|0 5|64 59|74 67|
84 10|23 57|39 24|99 45|65 38|77 63|62 44|26 52|76 100|73 73|42 15|74 31|80 60|0 95|64 41|74 33|
10 16|57 77|24 61|45 1|38 35|63 23|44 38|52 74|100 24|73 27|15 58|31 26|60 20|95 100|41 36|33 26|
16 90|77 43|61 76|1 55|35 62|23 37|38 56|74 48|24 0|27 27|58 85|26 69|20 40|100 5|36 59|26 67|
63 97|10 0|0 77|21 17|57 70|80 64|94 74|89 37|49 52|56 72|49 44|71 56|36 61|15 7|39 62|57 43|
37 97|90 0|100 77|79 17|43 70|20 64|6 74|11 37|51 52|44 72|51 44|29 56|64 61|85 7|61 62|43 43|
63 3|10 100|0 23|21 83|57 30|80 36|94 26|89 63|49 48|56 28|49 56|71 44|36 39|15 93|39 38|57 57|
97 63|0 10|77 0|17 21|70 57|64 80|74 94|37 89|52 49|72 56|44 49|56 71|61 36|7 15|62 39|43 57|
97 37|0 90|77 100|17 79|70 43|64 20|74 6|37 11|52 51|72 44|44 51|56 29|61 64|7 85|62 61|43 43|
37 3|90 100|100 23|79 83|43 30|20 36|6 26|11 63|51 48|44 28|51 56|29 44|64 39|85 93|61 38|43 57|
3 63|100 10|23 0|83 21|30 57|36 80|26 94|63 89|48 49|28 56|56 49|44 71|39 36|93 15|38 39|57 57|
34 25|47 48|55 37|72 17|4 83|15 71|30 52|1 87|8 13|38 65|62 6|39 72|43 19|0 0|6 80|17 68|
66 25|53 48|45 37|28 17|96 83|85 71|70 52|99 87|92 13|62 65|38 6|61 72|57 19|100 0|94 80|83 68|
34 75|47 52|55 63|72 83|4 17|15 29|30 48|1 13|8 87|38 35|62 94|39 28|43 81|0 100|6 20|17 32|
25 34|48 47|37 55|17 72|83 4|71 15|52 30|87 1|13 8|65 38|6 62|72 39|19 43|0 0|80 6|68 17|
25 66|48 53|37 45|17 28|83 96|71 85|52 70|87 99|13 92|65 62|6 38|72 61|19 57|0 100|80 94|68 83|
66 75|53 52|45 63|28 83|96 17|85 29|70 48|99 13|92 87|62 35|38 94|61 28|57 81|100 100|94 20|83 32|
75 34|52 47|63 55|83 72|17 4|29 15|48 30|13 1|87 8|35 38|94 62|28 39|81 43|100 0|20 6|32 17|
20 22|0 98|50 32|92 0|33 40|40 84|12 12|95 95|56 14|73 20|50 39|22 88|91 86|47 34|49 40|86 74|
80 22|100 98|50 32|8 0|67 40|60 84|88 12|5 95|44 14|27 20|50 39|78 88|9 86|53 34|51 40|14 74|
20 78|0 2|50 68|92 100|33 60|40 16|12 88|95 5|56 86|73 80|50 61|22 12|91 14|47 66|49 60|86 26|
22 20|98 0|32 50|0 92|40 33|84 40|12 12|95 95|14 56|20 73|39 50|88 22|86 91|34 47|40 49|74 86|
22 80|98 100|32 50|0 8|40 67|84 60|12 88|95 5|14 44|20 27|39 50|88 78|86 9|34 53|40 51|74 14|
80 78|100 2|50 68|8 100|67 60|60 16|88 88|5 5|44 86|27 80|50 61|78 12|9 14|53 66|51 60|14 26|
78 20|2 0|68 50|100 92|60 33|16 40|88 12|5 95|86 56|80 73|61 50|12 22|14 91|66 47|60 49|26 86|
70 64|95 4|60 66|28 2|47 29|99 0|18 93|75 26|84 65|65 26|4 0|62 40|67 27|24 80|41 3|59 37|
30 64|5 4|40 66|72 2|53 29|1 0|82 93|25 26|16 65|35 26|96 0|38 40|33 27|76 80|59 3|41 37|
70 36|95 96|60 34|28 98|47 71|99 100|18 7|75 74|84 35|65 74|4 100|62 60|67 73|24 20|41 97|59 63|
64 70|4 95|66 60|2 28|29 47|0 99|93 18|26 75|65 84|26 65|0 4|40 62|27 67|80 24|3 41|37 59|
64 30|4 5|66 40|2 72|29 53|0 1|93 82|26 25|65 16|26 35|0 96|40 38|27 33|80 76|3 59|37 41|
30 36|5 96|40 34|72 98|53 71|1 100|82 7|25 74|16 35|35 74|96 100|38 60|33 73|76 20|59 97|41 63|
36 70|96 95|34 60|98 28|71 47|100 99|7 18|74 75|35 84|74 65|100 4|60 62|73 67|20 24|97 41|63 59|
44 98|53 64|60 74|99 91|77 76|43 58|15 51|61 32|93 8|81 79|55 79|38 62|13 10|0 44|49 27|56 30|
56 98|47 64|40 74|1 91|23 76|57 58|85 51|39 32|7 8|19 79|45 79|62 62|87 10|100 44|51 27|44 30|
44 2|53 36|60 26|99 9|77 24|43 42|15 49|61 68|93 92|81 21|55 21|38 38|13 90|0 56|49 73|56 70|
98 44|64 53|74 60|91 99|76 77|58 43|51 15|32 61|8 93|79 81|79 55|62 38|10 13|44 0|27 49|30 56|
98 56|64 47|74 40|91 1|76 23|58 57|51 85|32 39|8 7|79 19|79 45|62 62|10 87|44 100|27 51|30 44|
56 2|47 36|40 26|1 9|23 24|57 42|85 49|39 68|7 92|19 21|45 21|62 38|87 90|100 56|51 73|44 70|
2 44|36 53|26 60|9 99|24 77|42 43|49 15|68 61|92 93|21 81|21 55|38 38|90 13|56 0|73 49|70 56|
36 46|0 99|18 51|40 29|98 26|75 61|72 51|3 93|25 13|53 2|14 14|78 66|89 79|0 0|28 12|35 38|
64 46|100 99|82 51|60 29|2 26|25 61|28 51|97 93|75 13|47 2|86 14|22 66|11 79|100 0|72 12|65 38|
36 54|0 1|18 49|40 71|98 74|75 39|72 49|3 7|25 87|53 98|14 86|78 34|89 21|0 100|28 88|35 62|
46 36|99 0|51 18|29 40|26 98|61 75|51 72|93 3|13 25|2 53|14 14|66 78|79 89|0 0|12 28|38 35|
46 64|99 100|51 82|29 60|26 2|61 25|51 28|93 97|13 75|2 47|14 86|66 22|79 11|0 100|12 72|38 65|
64 54|100 1|82 49|60 71|2 74|25 39|28 49|97 7|75 87|47 98|86 86|22 34|11 21|100 100|72 88|65 62|
54 36|1 0|49 18|71 40|74 98|39 75|49 72|7 3|87 25|98 53|86 14|34 78|21 89|100 0|88 28|62 35|
11 75|95 92|65 25|49 64|10 75|4 47|59 28|76 8|56 69|1 76|37 99|8 51|72 70|0 44|13 76|70 68|
89 75|5 92|35 25|51 64|90 75|96 47|41 28|24 8|44 69|99 76|63 99|92 51|28 70|100 44|87 76|30 68|
11 25|95 8|65 75|49 36|10 25|4 53|59 72|76 92|56 31|1 24|37 1|8 49|72 30|0 56|13 24|70 32|
75 11|92 95|25 65|64 49|75 10|47 4|28 59|8 76|69 56|76 1|99 37|51 8|70 72|44 0|76 13|68 70|
75 89|92 5|25 35|64 51|75 90|47 96|28 41|8 24|69 44|76 99|99 63|51 92|70 28|44 100|76 87|68 30|
89 25|5 8|35 75|51 36|90 25|96 53|41 72|24 92|44 31|99 24|63 1|92 49|28 30|100 56|87 24|30 32|
25 11|8 95|75 65|36 49|25 10|53 4|72 59|92 76|31 56|24 1|1 37|49 8|30 72|56 0|24 13|32 70|
99 2|35 41|84 8|50 46|11 28|6 3|9 9|77 87|5 62|28 32|25 52|13 55|61 14|13 29|17 36|50 47|
1 2|65 41|16 8|50 46|89 28|94 3|91 9|23 87|95 62|72 32|75 52|87 55|39 14|87 29|83 36|50 47|
99 98|35 59|84 92|50 54|11 72|6 97|9 91|77 13|5 38|28 68|25 48|13 45|61 86|13 71|17 64|50 53|
2 99|41 35|8 84|46 50|28 11|3 6|9 9|87 77|62 5|32 28|52 25|55 13|14 61|29 13|36 17|47 50|
2 1|41 65|8 16|46 50|28 89|3 94|9 91|87 23|62 95|32 72|52 75|55 87|14 39|29 87|36 83|47 50|
1 98|65 59|16 92|50 54|89 72|94 97|91 91|23 13|95 38|72 68|75 48|87 45|39 86|87 71|83 64|50 53|
98 99|59 35|92 84|54 50|72 11|97 6|91 9|13 77|38 5|68 28|48 25|45 13|86 61|71 13|64 17|53 50|
87 71|71 97|76 86|12 38|80 78|88 33|61 38|72 3|23 36|91 26|42 30|92 75|63 35|0 39|53 40|94 25|
13 71|29 97|24 86|88 38|20 78|12 33|39 38|28 3|77 36|9 26|58 30|8 75|37 35|100 39|47 40|6 25|
87 29|71 3|76 14|12 62|80 22|88 67|61 62|72 97|23 64|91 74|42 70|92 25|63 65|0 61|53 60|94 75|
71 87|97 71|86 76|38 12|78 80|33 88|38 61|3 72|36 23|26 91|30 42|75 92|35 63|39 0|40 53|25 94|
71 13|97 29|86 24|38 88|78 20|33 12|38 39|3 28|36 77|26 9|30 58|75 8|35 37|39 100|40 47|25 6|
13 29|29 3|24 14|88 62|20 22|12 67|39 62|28 97|77 64|9 74|58 70|8 25|37 65|100 61|47 60|6 75|
29 87|3 71|14 76|62 12|22 80|67 88|62 61|97 72|64 23|74 91|70 42|25 92|65 63|61 0|60 53|75 94|
40 48|22 96|16 44|66 64|37 39|17 20|16 18|66 65|26 60|8 35|80 54|70 93|68 59|9 36|17 21|36 41|
60 48|78 96|84 44|34 64|63 39|83 20|84 18|34 65|74 60|92 35|20 54|30 93|32 59|91 36|83 21|64 41|
40 52|22 4|16 56|66 36|37 61|17 80|16 82|66 35|26 40|8 65|80 46|70 7|68 41|9 64|17 79|36 59|
48 40|96 22|44 16|64 66|39 37|20 17|18 16|65 66|60 26|35 8|54 80|93 70|59 68|36 9|21 17|41 36|
48 60|96 78|44 84|64 34|39 63|20 83|18 84|65 34|60 74|35 92|54 20|93 30|59 32|36 91|21 83|41 64|
60 52|78 4|84 56|34 36|63 61|83 80|84 82|34 35|74 40|92 65|20 46|30 7|32 41|91 64|83 79|64 59|
52 40|4 22|56 16|36 66|61 37|80 17|82 16|35 66|40 26|65 8|46 80|7 70|41 68|64 9|79 17|59 36|
23 57|67 74|2 62|24 15|23 13|47 79|46 97|56 76|83 76|39 32|42 21|26 57|67 19|25 19|38 21|38 32|
77 57|33 74|98 62|76 15|77 13|53 79|54 97|44 76|17 76|61 32|58 21|74 57|33 19|75 19|62 21|62 32|
23 43|67 26|2 38|24 85|23 87|47 21|46 3|56 24|83 24|39 68|42 79|26 43|67 81|25 81|38 79|38 68|
57 23|74 67|62 2|15 24|13 23|79 47|97 46|76 56|76 83|32 39|21 42|57 26|19 67|19 25|21 38|32 38|
57 77|74 33|62 98|15 76|13 77|79 53|97 54|76 44|76 17|32 61|21 58|57 74|19 33|19 75|21 62|32 62|
77 43|33 26|98 38|76 85|77 87|53 21|54 3|44 24|17 24|61 68|58 79|74 43|33 81|75 81|62 79|62 68|
43 23|26 67|38 2|85 24|87 23|21 47|3 46|24 56|24 83|68 39|79 42|43 26|81 67|81 25|79 38|68 38|
70 93|64 29|31 96|0 57|29 35|29 39|13 60|60 89|69 26|27 65|46 61|14 11|55 64|30 98|33 93|59 31|
30 93|36 29|69 96|100 57|71 35|71 39|87 60|40 89|31 26|73 65|54 61|86 11|45 64|70 98|67 93|41 31|
70 7|64 71|31 4|0 43|29 65|29 61|13 40|60 11|69 74|27 35|46 39|14 89|55 36|30 2|33 7|59 69|
93 70|29 64|96 31|57 0|35 29|39 29|60 13|89 60|26 69|65 27|61 46|11 14|64 55|98 30|93 33|31 59|
93 30|29 36|96 69|57 100|35 71|39 71|60 87|89 40|26 31|65 73|61 54|11 86|64 45|98 70|93 67|31 41|
30 7|36 71|69 4|100 43|71 65|71 61|87 40|40 11|31 74|73 35|54 39|86 89|45 36|70 2|67 7|41 69|
7 70|71 64|4 31|43 0|65 29|61 29|40 13|11 60|74 69|35 27|39 46|89 14|36 55|2 30|7 33|69 59|
97 38|12 13|62 61|61 82|63 83|39 96|42 92|70 99|66 55|79 5|88 43|4 8|58 61|11 13|21 12|37 71|
3 38|88 13|38 61|39 82|37 83|61 96|58 92|30 99|34 55|21 5|12 43|96 8|42 61|89 13|79 12|63 71|
97 62|12 87|62 39|61 18|63 17|39 4|42 8|70 1|66 45|79 95|88 57|4 92|58 39|11 87|21 88|37 29|
38 97|13 12|61 62|82 61|83 63|96 39|92 42|99 70|55 66|5 79|43 88|8 4|61 58|13 11|12 21|71 37|
38 3|13 88|61 38|82 39|83 37|96 61|92 58|99 30|55 34|5 21|43 12|8 96|61 42|13 89|12 79|71 63|
3 62|88 87|38 39|39 18|37 17|61 4|58 8|30 1|34 45|21 95|12 57|96 92|42 39|89 87|79 88|63 29|
62 97|87 12|39 62|18 61|17 63|4 39|8 42|1 70|45 66|95 79|57 88|92 4|39 58|87 11|88 21|29 37|
40 16|62 60|64 13|51 17|18 86|72 72|63 61|77 19|16 4|69 10|65 20|70 69|97 24|3 0|20 5|67 16|
60 16|38 60|36 13|49 17|82 86|28 72|37 61|23 19|84 4|31 10|35 20|30 69|3 24|97 0|80 5|33 16|
40 84|62 40|64 87|51 83|18 14|72 28|63 39|77 81|16 96|69 90|65 80|70 31|97 76|3 100|20 95|67 84|
16 40|60 62|13 64|17 51|86 18|72 72|61 63|19 77|4 16|10 69|20 65|69 70|24 97|0 3|5 20|16 67|
16 60|60 38|13 36|17 49|86 82|72 28|61 37|19 23|4 84|10 31|20 35|69 30|24 3|0 97|5 80|16 33|
60 84|38 40|36 87|49 83|82 14|28 28|37 39|23 81|84 96|31 90|35 80|30 31|3 76|97 100|80 95|33 84|
84 40|40 62|87 64|83 51|14 18|28 72|39 63|81 77|96 16|90 69|80 65|31 70|76 97|100 3|95 20|84 67|
87 3|32 39|97 26|73 89|61 39|79 45|72 84|33 41|69 25|12 80|25 69|13 3|62 31|20 73|56 41|71 54|
13 3|68 39|3 26|27 89|39 39|21 45|28 84|67 41|31 25|88 80|75 69|87 3|38 31|80 73|44 41|29 54|
87 97|32 61|97 74|73 11|61 61|79 55|72 16|33 59|69 75|12 20|25 31|13 97|62 69|20 27|56 59|71 46|
3 87|39 32|26 97|89 73|39 61|45 79|84 72|41 33|25 69|80 12|69 25|3 13|31 62|73 20|41 56|54 71|
3 13|39 68|26 3|89 27|39 39|45 21|84 28|41 67|25 31|80 88|69 75|3 87|31 38|73 80|41 44|54 29|
13 97|68 61|3 74|27 11|39 61|21 55|28 16|67 59|31 75|88 20|75 31|87 97|38 69|80 27|44 59|29 46|
97 87|61 32|74 97|11 73|61 61|55 79|16 72|59 33|75 69|20 12|31 25|97 13|69 62|27 20|59 56|46 71|
62 64|9 99|92 0|73 23|38 24|11 55|66 29|47 6|25 65|69 67|18 85|59 47|94 83|20 45|27 37|55 47|
38 64|91 99|8 0|27 23|62 24|89 55|34 29|53 6|75 65|31 67|82 85|41 47|6 83|80 45|73 37|45 47|
62 36|9 1|92 100|73 77|38 76|11 45|66 71|47 94|25 35|69 33|18 15|59 53|94 17|20 55|27 63|55 53|
64 62|99 9|0 92|23 73|24 38|55 11|29 66|6 47|65 25|67 69|85 18|47 59|83 94|45 20|37 27|47 55|
64 38|99 91|0 8|23 27|24 62|55 89|29 34|6 53|65 75|67 31|85 82|47 41|83 6|45 80|37 73|47 45|
38 36|91 1|8 100|27 77|62 76|89 45|34 71|53 94|75 35|31 33|82 15|41 53|6 17|80 55|73 63|45 53|
36 62|1 9|100 92|77 73|76 38|45 11|71 66|94 47|35 25|33 69|15 18|53 59|17 94|55 20|63 27|53 55|
76 76|28 11|92 85|43 98|53 39|75 34|84 15|10 65|24 6|50 50|40 72|53 51|68 52|30 69|34 70|65 70|
24 76|72 11|8 85|57 98|47 39|25 34|16 15|90 65|76 6|50 50|60 72|47 51|32 52|70 69|66 70|35 70|
76 24|28 89|92 15|43 2|53 61|75 66|84 85|10 35|24 94|50 50|40 28|53 49|68 48|30 31|34 30|65 30|
76 76|11 28|85 92|98 43|39 53|34 75|15 84|65 10|6 24|50 50|72 40|51 53|52 68|69 30|70 34|70 65|
76 24|11 72|85 8|98 57|39 47|34 25|15 16|65 90|6 76|50 50|72 60|51 47|52 32|69 70|70 66|70 35|
24 24|72 89|8 15|57 2|47 61|25 66|16 85|90 35|76 94|50 50|60 28|47 49|32 48|70 31|66 30|35 30|
24 76|89 28|15 92|2 43|61 53|66 75|85 84|35 10|94 24|50 50|28 40|49 53|48 68|31 30|30 34|30 65|
92 89|75 20|66 66|96 99|66 74|88 26|11 26|13 86|77 27|91 86|37 29|34 69|64 27|20 83|46 30|99 17|
8 89|25 20|34 66|4 99|34 74|12 26|89 26|87 86|23 27|9 86|63 29|66 69|36 27|80 83|54 30|1 17|
92 11|75 80|66 34|96 1|66 26|88 74|11 74|13 14|77 73|91 14|37 71|34 31|64 73|20 17|46 70|99 83|
89 92|20 75|66 66|99 96|74 66|26 88|26 11|86 13|27 77|86 91|29 37|69 34|27 64|83 20|30 46|17 99|
89 8|20 25|66 34|99 4|74 34|26 12|26 89|86 87|27 23|86 9|29 63|69 66|27 36|83 80|30 54|17 1|
8 11|25 80|34 34|4 1|34 26|12 74|89 74|87 14|23 73|9 14|63 71|66 31|36 73|80 17|54 70|1 83|
11 92|80 75|34 66|1 96|26 66|74 88|74 11|14 13|73 77|14 91|71 37|31 34|73 64|17 20|70 46|83 99|
59 82|58 70|82 7|76 11|80 46|73 37|83 48|28 14|33 26|55 44|20 66|3 73|81 8|12 68|16 0|60 65|
41 82|42 70|18 7|24 11|20 46|27 37|17 48|72 14|67 26|45 44|80 66|97 73|19 8|88 68|84 0|40 65|
59 18|58 30|82 93|76 89|80 54|73 63|83 52|28 86|33 74|55 56|20 34|3 27|81 92|12 32|16 100|60 35|
82 59|70 58|7 82|11 76|46 80|37 73|48 83|14 28|26 33|44 55|66 20|73 3|8 81|68 12|0 16|65 60|
82 41|70 42|7 18|11 24|46 20|37 27|48 17|14 72|26 67|44 45|66 80|73 97|8 19|68 88|0 84|65 40|
41 18|42 30|18 93|24 89|20 54|27 63|17 52|72 86|67 74|45 56|80 34|97 27|19 92|88 32|84 100|40 35|
18 59|30 58|93 82|89 76|54 80|63 73|52 83|86 28|74 33|56 55|34 20|27 3|92 81|32 12|100 16|35 60|
79 48|18 15|63 42|42 57|40 53|10 73|29 35|62 63|56 38|48 55|0 17|76 84|13 6|3 19|48 56|61 61|
21 48|82 15|37 42|58 57|60 53|90 73|71 35|38 63|44 38|52 55|100 17|24 84|87 6|97 19|52 56|39 61|
79 52|18 85|63 58|42 43|40 47|10 27|29 65|62 37|56 62|48 45|0 83|76 16|13 94|3 81|48 44|61 39|
48 79|15 18|42 63|57 42|53 40|73 10|35 29|63 62|38 56|55 48|17 0|84 76|6 13|19 3|56 48|61 61|
48 21|15 82|42 37|57 58|53 60|73 90|35 71|63 38|38 44|55 52|17 100|84 24|6 87|19 97|56 52|61 39|
21 52|82 85|37 58|58 43|60 47|90 27|71 65|38 37|44 62|52 45|100 83|24 16|87 94|97 81|52 44|39 39|
52 79|85 18|58 63|43 42|47 40|27 10|65 29|37 62|62 56|45 48|83 0|16 76|94 13|81 3|44 48|39 61|
45 30|51 41|67 69|56 67|49 74|57 42|33 68|36 68|50 56|62 40|60 67|51 56|71 35|0 69|49 55|52 70|
55 30|49 41|33 69|44 67|51 74|43 42|67 68|64 68|50 56|38 40|40 67|49 56|29 35|100 69|51 55|48 70|
45 70|51 59|67 31|56 33|49 26|57 58|33 32|36 32|50 44|62 60|60 33|51 44|71 65|0 31|49 45|52 30|
30 45|41 51|69 67|67 56|74 49|42 57|68 33|68 36|56 50|40 62|67 60|56 51|35 71|69 0|55 49|70 52|
30 55|41 49|69 33|67 44|74 51|42 43|68 67|68 64|56 50|40 38|67 40|56 49|35 29|69 100|55 51|70 48|
55 70|49 59|33 31|44 33|51 26|43 58|67 32|64 32|50 44|38 60|40 33|49 44|29 65|100 31|51 45|48 30|
70 45|59 51|31 67|33 56|26 49|58 57|32 33|32 36|44 50|60 62|33 60|44 51|65 71|31 0|45 49|30 52|
29 36|48 64|33 73|39 53|50 44|52 63|39 58|67 67|56 25|44 66|25 32|32 60|35 59|0 0|36 51|48 51|
71 36|52 64|67 73|61 53|50 44|48 63|61 58|33 67|44 25|56 66|75 32|68 60|65 59|100 0|64 51|52 51|
29 64|48 36|33 27|39 47|50 56|52 37|39 42|67 33|56 75|44 34|25 68|32 40|35 41|0 100|36 49|48 49|
36 29|64 48|73 33|53 39|44 50|63 52|58 39|67 67|25 56|66 44|32 25|60 32|59 35|0 0|51 36|51 48|
36 71|64 52|73 67|53 61|44 50|63 48|58 61|67 33|25 44|66 56|32 75|60 68|59 65|0 100|51 64|51 52|
71 64|52 36|67 27|61 47|50 56|48 37|61 42|33 33|44 75|56 34|75 68|68 40|65 41|100 100|64 49|52 49|
64 29|36 48|27 33|47 39|56 50|37 52|42 39|33 67|75 56|34 44|68 25|40 32|41 35|100 0|49 36|49 48|
34 40|60 56|70 32|74 29|34 52|36 53|26 74|30 31|72 69|25 59|57 46|27 69|29 51|0 0|2 3|31 34|
66 40|40 56|30 32|26 29|66 52|64 53|74 74|70 31|28 69|75 59|43 46|73 69|71 51|100 0|98 3|69 34|
34 60|60 44|70 68|74 71|34 48|36 47|26 26|30 69|72 31|25 41|57 54|27 31|29 49|0 100|2 97|31 66|
40 34|56 60|32 70|29 74|52 34|53 36|74 26|31 30|69 72|59 25|46 57|69 27|51 29|0 0|3 2|34 31|
40 66|56 40|32 30|29 26|52 66|53 64|74 74|31 70|69 28|59 75|46 43|69 73|51 71|0 100|3 98|34 69|
66 60|40 44|30 68|26 71|66 48|64 47|74 26|70 69|28 31|75 41|43 54|73 31|71 49|100 100|98 97|69 66|
60 34|44 60|68 70|71 74|48 34|47 36|26 26|69 30|31 72|41 25|54 57|31 27|49 29|100 0|97 2|66 31|
71 66|65 40|55 37|49 52|46 72|70 34|48 54|52 36|74 30|43 52|31 58|46 31|45 73|39 55|48 71|51 70|
29 66|35 40|45 37|51 52|54 72|30 34|52 54|48 36|26 30|57 52|69 58|54 31|55 73|61 55|52 71|49 70|
71 34|65 60|55 63|49 48|46 28|70 66|48 46|52 64|74 70|43 48|31 42|46 69|45 27|39 45|48 29|51 30|
66 71|40 65|37 55|52 49|72 46|34 70|54 48|36 52|30 74|52 43|58 31|31 46|73 45|55 39|71 48|70 51|
